Id_Copy,Is_rent,Films_Id,Store_Id
1,0,1,2
2,0,2,2
3,0,3,2
4,0,4,2
5,0,5,2
6,0,6,2
7,0,7,2
8,0,8,2
9,0,9,2
10,0,10,2
11,0,11,2
12,0,12,2
13,0,13,2
14,0,14,2
15,0,15,2
16,0,16,2
17,0,17,2
18,0,18,2
19,0,19,2
20,0,20,2
21,0,21,2
22,0,22,2
23,0,23,2
24,0,24,2
25,0,25,2
26,0,26,2
27,0,27,2
28,0,28,2
29,0,29,2
30,0,30,2
31,0,31,2
32,0,32,2
33,0,33,2
34,0,34,2
35,0,35,2
36,0,36,2
37,0,37,2
38,0,38,2
39,0,39,2
40,0,40,2
41,0,41,2
42,0,42,2
43,0,43,2
44,0,44,2
45,0,45,2
46,0,46,2
47,0,47,2
48,0,48,2
49,0,49,2
50,0,50,2
51,0,51,2
52,0,52,2
53,0,53,2
54,0,54,2
55,0,55,2
56,0,56,2
57,0,57,2
58,0,58,2
59,0,59,2
60,0,60,2
61,0,61,2
62,0,62,2
63,0,63,2
64,0,64,2
65,0,65,2
66,0,66,2
67,0,67,2
68,0,68,2
69,0,69,2
70,0,70,2
71,0,71,2
72,0,72,2
73,0,73,2
74,0,74,2
75,0,75,2
76,0,76,2
77,0,77,2
78,0,78,2
79,0,79,2
80,0,80,2
81,0,81,2
82,0,82,2
83,0,83,2
84,0,84,2
85,0,85,2
86,0,86,2
87,0,87,2
88,0,88,2
89,0,89,2
90,0,90,2
91,0,91,2
92,0,92,2
93,0,93,2
94,0,94,2
95,0,95,2
96,0,96,2
97,0,97,2
98,0,98,2
99,0,99,2
100,0,100,2
101,0,101,2
102,0,102,2
103,0,103,2
104,0,104,2
105,0,105,2
106,0,106,2
107,0,107,2
108,0,108,2
109,0,109,2
110,0,110,2
111,0,111,2
112,0,112,2
113,0,113,2
114,0,114,2
115,0,115,2
116,0,116,2
117,0,117,2
118,0,118,2
119,0,119,2
120,0,120,2
121,0,121,2
122,0,122,2
123,0,123,2
124,0,124,2
